id,name,produzent,nation,lokal1,lokal2,lokal3,lokal4,sorten1,sorten2,sorten3,sorten4,sorten5,sorten6,sorten7,sorten8,sorten9,sorten10,sorten11,sorten12,typ,verwendung,alc,temperatur,suesse,saeurengehalt ,koerper,gerbstoff,preis,jahr,ml
150373,"Gancia, Honeymoon Moscato",Gancia,Italy,Piemonte,Asti,,,Moscato Bianco,,,,,,,,,,,,White,"Appetizer, Dessert",5.5,11,4,2,2,1,21.93255921,2011,750
150377,"San Pedro, Tierras Moradas",San Pedro,Chile,Maule Valley,,,,Carmenere,Petit Verdot,,,,,,,,,,,Red,Table,14.5,17,1,3,4,4,146.7060817,2016,750
150379,"Trapiche, Melodias Torrontes",Trapiche,Argentina,Mendoza,,,,Torrontes,,,,,,,,,,,,White,Table,12.5,11,1,4,2,1,19.07179062,2018,750
150380,"Tommasi, Soave Classico ",Tommasi,Italy,Veneto,Verona,,,Garganega,Trebbiano,,,,,,,,,,,White,Table,12,11,1,4,2,1,26.40709471,2010,750
150384,"San Pedro, Kankana",San Pedro,Chile,Coquimbo,Elqui Valley,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14.5,17,1,3,5,4,146.7060817,2016,750
150396,"Gancia, Marchesi Spinola",Gancia,Italy,Piemonte,Asti,,,Moscato Bianco,,,,,,,,,,,,White,"Appetizer, Dessert",5.5,11,4,2,2,1,27.87415552,2011,750
150401,Marques de Casa Concha Syrah,Concha y Toro,Chile,Maipo Valley,,,,Syrah & Shiraz,Carmenere,,,,,,,,,,,Red,Table,14,17,1,3,4,4,51.3471286,2016,750
150402,"Marques de Casa Concha, Chardonnay",Concha y Toro,Chile,Coquimbo,Limari Valley,,,Chardonnay,,,,,,,,,,,,White,Table,13.5,11,1,3,3,1,51.3471286,2016,750
150403,"Marques de Casa Concha, Cabernet Sauvignon",Concha y Toro,Chile,Maipo Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,17,1,3,4,4,51.3471286,2016,750
150404,Marques de Casa Concha Carmenere,Concha y Toro,Chile,Rapel Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,14.5,17,1,3,4,3,51.3471286,2016,750
150405,"Schloss Vollrads, Volratz",Schloss Vollrads Weingut Schloss Vollrads,Germany,Rheingau,,,,Riesling,,,,,,,,,,,,White,"Appetizer, Table",11.5,10,2,5,3,1,33.00886838,2017,750
150406,"Schloss Vollrads, Kabinett",Schloss Vollrads Weingut Schloss Vollrads,Germany,Rheingau,,,,Riesling,,,,,,,,,,,,White,"Appetizer, Table",8.5,10,2,5,3,1,47.67947655,2017,750
150407,"Schloss Vollrads, Edition",Schloss Vollrads Weingut Schloss Vollrads,Germany,Rheingau,,,,Riesling,,,,,,,,,,,,White,"Appetizer, Table",12.5,10,2,5,3,1,51.3471286,2016,750
150408,"Schloss Vollrads,  Spatlese",Schloss Vollrads Weingut Schloss Vollrads,Germany,Rheingau,,,,Riesling,,,,,,,,,,,,White,Table,7.5,10,3,5,3,1,58.68243268,2015,750
150409,"Schloss Vollrads, QbA Erstes Gewaechs",Schloss Vollrads Weingut Schloss Vollrads,Germany,Rheingau,,,,Riesling,,,,,,,,,,,,White,"Appetizer, Table",12.6,10,1,5,3,1,88.02364902,2010,750
150411,Altovinum Evodia,Bodegas San Alejandro,Spain,Calatayud,,,,Garnacha,,,,,,,,,,,,Red,Table,15,17,1,3,4,3,36.67652043,2016,750
